2025-10-30 13:59:56.645 [YX] INFO  [AWT-EventQueue-0] - JConQueryTool.init()-4
2025-10-30 13:59:56.699 [YX] INFO  [AWT-EventQueue-0] - Update API newswire sources
2025-10-30 13:59:56.705 [YX] INFO  [AWT-EventQueue-0] - Size of NEWS source collections is different: Old=0 New=4
2025-10-30 13:59:56.705 [YX] INFO  [AWT-EventQueue-0] - Size of TOP_NEWS source collections is different: Old=0 New=1
2025-10-30 13:59:56.705 [YX] INFO  [AWT-EventQueue-0] - Size of RESEARCH source collections is different: Old=0 New=2
2025-10-30 13:59:56.705 [YX] INFO  [AWT-EventQueue-0] - Size of UP_DOWNGRADE source collections is different: Old=0 New=1
2025-10-30 13:59:56.706 [YX] INFO  [AWT-EventQueue-0] - API news providers changed
2025-10-30 13:59:56.706 [YX] INFO  [AWT-EventQueue-0] - Data permissions are not changed
2025-10-30 13:59:56.706 [YX] INFO  [AWT-EventQueue-0] - Changing state for connection from FIX_SESSION_REQUEST to FIX_SESSION_OPEN in B 1299488952: SessionSocket:2
2025-10-30 13:59:56.706 [YX] INFO  [AWT-EventQueue-0] - Handling normal logon msg NORMAL, wasConnected=false session:2
2025-10-30 13:59:56.706 [YX] INFO  [AWT-EventQueue-0] - Processing normal logon msg
2025-10-30 13:59:56.706 [YX] INFO  [AWT-EventQueue-0] - Check settings BatchRequests are back:0 res:true
2025-10-30 13:59:56.706 [YX] INFO  [AWT-EventQueue-0] - Restart quick=false cold=false logon=NORMAL batch=true
2025-10-30 13:59:56.706 [YX] INFO  [AWT-EventQueue-0] - SPLASH Processing startup parameters
2025-10-30 13:59:56.707 [YX] INFO  [AWT-EventQueue-0] - SPLASH 0864 step 7 JConQueryTool.processNormalLogon1-1
2025-10-30 13:59:56.707 [YX] INFO  [AWT-EventQueue-0] - Processing normal logon 1
